Submission ID,Respondent ID,Submitted at,idEmpresa,Transportadora principal,Importância - reduzir os custos de frete em cada pedido,Importância - aumentar a competitividade nas modalidades e transportadoras oferecidas aos clientes,Importância - ter flexibilidade para negociar condições comerciais e operacionais de acordo com o porte do seu negócio,Importância - garantir entregas dentro do prazo prometido,Importância - minimizar atrasos ou falhas na coleta e transporte,Importância - oferecer rastreamento claro e atualizado em tempo real ao cliente,"Importância - reduzir o tempo de resolução de problemas de entrega (atrasos, extravios, avarias)",Importância - oferecer suporte proativo e eficiente ao cliente final em caso de problemas,Importância - facilitar a emissão de documentos e etiquetas de forma prática,Importância - receber relatórios e indicadores de desempenho logístico,"Importância - integrar facilmente sua logística com sistemas de gestão (ERP, loja virtual, etc.)",Satisfação - reduzir os custos de frete em cada pedido,Satisfação - aumentar a competitividade nas modalidades e transportadoras oferecidas aos clientes,Satisfação - ter flexibilidade para negociar condições comerciais e operacionais de acordo com o porte do seu negócio,Satisfação - garantir entregas dentro do prazo prometido,Satisfação - minimizar atrasos ou falhas na coleta e transporte,Satisfação - oferecer rastreamento claro e atualizado em tempo real ao cliente,"Satisfação - reduzir o tempo de resolução de problemas de entrega (atrasos, extravios, avarias)",Satisfação - oferecer suporte proativo e eficiente ao cliente final em caso de problemas,Satisfação - facilitar a emissão de documentos e etiquetas de forma prática,Satisfação - receber relatórios e indicadores de desempenho logístico,"Satisfação - integrar facilmente sua logística com sistemas de gestão (ERP, loja virtual, etc.)",Pontos positivos,Pontos negativos
GxqG2Xp,MeKjqjA,2025-09-19 07:41:38,291171591,MelhorEnvio,10,10,7,10,10,10,10,10,10,10,10,6,7,4,6,6,5,5,5,8,6,8,Na forma de pagamento e opções de pontos de envio ,Ter que levar os produtos nos pontos de envio 
KYWXpaD,9qGjEqY,2025-09-19 11:54:18,14879498827,Correios,10,9,8,10,10,10,10,10,10,10,9,7,7,6,5,7,9,6,7,10,8,7,"São eficientes de modo geral , porém quando você compra serviços mais caros como o SEDEX. ",Os Correios ainda possuem baixas ineficazes o que impacta na nossa operação e sugerem retornos demorados de pacotes. 
KYWXLaX,aQNqvvE,2025-09-19 12:46:35,2681534095,MelhorEnvio,9,5,10,10,10,10,10,10,10,10,10,7,7,7,8,5,1,7,2,8,3,5,"Facilidade no orçamento, facilidade de entregar em um unico ponto independente de qual trasnportadora vai usar. ",Comunicação automatica no sistema onde o sistema recebe a informação da encomenda ter chegado na trasnportadora e jogue o pedido de venda para contas a receber. E quando o cliente devolver aparecer no sistema que o pedido esta retornando para um controle melhor. 
yPoOx1X,jaDAvz6,2025-09-19 12:46:43,14880302891,MelhorEnvio,10,10,10,10,10,10,9,9,10,9,6,9,10,10,10,10,10,9,9,9,9,6,Rastreio acho muito bom e praticidade para gerar etiqueta.,Devolução Reversa acho muito ruim.
EkZpJkL,0QrRk1y,2025-09-19 12:52:57,14880084416,MelhorEnvio,9,10,9,9,9,10,10,10,10,10,10,5,8,6,10,9,9,8,7,10,8,10,etiquetas facil de pagar e imprir,preço
aQAWvYv,Np51y1p,2025-09-19 13:23:09,9581267921,MelhorEnvio,10,8,5,10,10,10,10,10,10,8,10,7,8,6,9,9,9,8,6,7,8,9,"Estar integrada com o ERP, tem boas opções de transporte por preços razoaveis.",Não realiza coleta no meu ponto.
aQAWJ12,PdjJJl5,2025-09-19 14:08:34,14880132002,Mandae,10,10,10,10,10,10,10,10,10,10,10,8,8,8,9,8,9,7,7,10,8,10,"Se integra com o Bling, envia relatórios diários de todas as entregas (Que permite meu funcionário checar se realmente está dentro do prazo ou não efetivamente), tem um custo competitivo.","Quando acontece um problema nas entregas, a resolução é no painel próprio, e não sei se todos casos são realmente mapeados a tempos por eles ou por meus funcionários, o bling poderia com base na cotação e tabela apresentar se temos entregas atrasadas ou não de acordo com o que foi ofertado ao cliente, conciliação é outro problema, pois existem empresas que fornecem CTE e outra NF + CTE, porém o melhor dos mundos seria eu ter os lançamentos do contas a pagar de fretes vinculados a cada NF, isso facilitaria uma série de extração e conciliação de dados que faço, principalmente para verificar erros de entrega em que pagamos o frete da volta, e o novo envio, e entender se a falha foi realmente da transportadora ou nos dados do cliente, etc, e tive uma experiência recente, que fiz uma série de envios via correios por Mini envios, não consegui filtrar de forma fácil no bling, para saber quais pedidos ja haviam sido entregues, quais estavam pendentes em trânsito e quais tinham dado algum problema, pois mesmo que eu colocasse um filtro por período, ele só carrega o número de quantidades de objeto da primeira página, dessa forma como eram aproximadamente 1900 envios no período, tive que ir abrindo as páginas e selecionando ou fazendo mútiplos por página, e checando status a status, na aba objetos de postem, pra mim é péssimo ter que gerenciar por dados da transportadora externos, se a informação está no bling pelos rastreios, poderia ser mais fácil de acessar, e e ir tomar as ações nos sistemas das transportadoras."
gDJBKeM,KYQKb1D,2025-09-19 14:40:32,7407240061,Correios,10,10,2,10,10,10,10,10,10,10,10,1,1,2,10,10,10,7,7,3,3,5,"Pontos de entrega em todo território nacional, nos mais distantes e difíceis acessos.",Preço 
D4xLr95,5BKPW6Z,2025-09-19 14:51:53,14879604103,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,6,6,5,7,6,6,7,7,8,8,8,"As plataformas Melhor Envio e Loggi mostram o andamento da carga, mas quando falham neste processo, ficamos na mão.","A pior coisa do mundo é ouvir ""mas a carga ainda está no prazo"", quando você nota do andamento da encomenda que não está tudo ok. Processos tem passo a passo e se algo ocorre, que você enxerga que não está ok, o atendimento via bot ou humano vem como esta resposta que nos deixa extremamente desconfortável."
jaJN1OY,xXxW6ky,2025-09-19 18:36:39,14879512489,Loggi,10,10,10,8,8,10,10,8,10,10,10,8,5,5,8,8,7,8,6,10,10,6,"grande abrangencia de atendimento, poucas falhas na entrega, facilidade de postar","dependendo da região o custo é alto
"
449e4Dk,OD1NyBp,2025-09-19 19:00:29,14879937883,Total Express,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,nao ha,Muito dificil configurar tudo no bling.. .hoje temos a frenet e a total.. e tenho zero acesso a rastreamentos.. clientes que nao voltam mais
rjJz6g2,GxvPOdO,2025-09-19 19:58:00,11234798480,frenet,10,10,0,10,10,10,10,10,10,10,10,8,8,0,10,8,5,8,8,7,5,5,a frenet tem configurações internas que possibilita mais possibilidades de personalização de entrega,rastreio é antigo
ob5Xl41,VLE6gv6,2025-09-19 20:53:07,13178430949,Correios,10,9,9,10,10,10,10,10,10,10,10,8,8,7,5,8,8,5,3,10,9,9,"O principal ponto positivo da solução de logística que utilizamos atualmente é a coleta diária e a agilidade na postagem, que considero muito eficiente. Daria cerca de 99% de avaliação positiva nesse aspecto.",Os principais pontos negativos são os atrasos recorrentes nas encomendas e a dificuldade em abrir chamados para solucionar esses pedidos quando dão problema.
D4xgx1X,VLE62Yv,2025-09-19 21:02:00,14880531820,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,2,2,2,0,0,10,0,0,8,0,10,"Os pontos positivos são a integração com o ERP, variedade de modais e rastreamento eficaz ","Os pontos negativos são as falhas da plataforma e o suporte é horrível e mesmo com o Bling dando suporte ao Melhor Envio ainda deixa muito a desejar. 
Gostaria de salientar que o nem mesmo os técnico de suporte conseguem resolver problemas e quando resolvem já é tarde. 
A logística requer rapidez e eficiência e o Bling/Melhor Envio deixam muito a desejar."
ODbOox8,eqZXdLk,2025-09-19 21:12:18,14879089782,MelhorEnvio,10,10,8,10,10,10,10,10,10,8,10,6,4,5,3,3,6,2,2,6,5,3,Custo baixo,"Atrasos na entrega
Serviço não confiável
extravio de encomendas"
pbJ8ve1,kdaPVkM,2025-09-19 21:14:20,14880578478,Própria,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Muito boa ,Muito boa 
vGJoVRA,81oBzLO,2025-09-19 22:16:45,13800631332,Correios,4,8,0,10,10,10,10,10,10,3,10,6,3,0,10,0,3,0,0,0,0,4,Confiabilidade,Dificuldade na resolução de problemas
1ANqzjM,5BK7496,2025-09-19 22:16:46,14879358409,Correios,10,10,10,10,10,10,10,10,10,10,10,4,5,5,10,7,10,7,6,10,10,6,Prazo,valor
kdJMBar,rjy4OoX,2025-09-19 22:41:05,14880525238,MelhorEnvio,10,10,7,10,10,10,10,10,10,8,10,3,3,5,8,8,9,9,8,8,8,8,Integração e facilidade para gerar envios,Custo alto para o cliente
EkZ4JYr,jaDRvkE,2025-09-20 02:34:12,14880309050,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Muitos!,Não tenho postos negativos
Xx8KzAd,Zj57yl5,2025-09-20 03:47:35,14880252135,Frenet,10,10,10,10,10,10,10,9,10,10,10,9,10,10,9,8,9,8,9,7,8,7,A mesma faz a cotação em várias transportadora e me entrega o melhor prazo e preço ,Parar gerar a remessa tenho que fazer 2 vezes o mesmo processo
816vyek,Bz4rDze,2025-09-20 10:15:39,12895013803,"RODONAVES, FEDEX, SETEX, BRASPRESS, ESPRESSO FIGUEIREDO, CAMPINENSE",10,10,10,10,10,8,10,10,10,10,10,6,6,6,7,5,5,5,5,5,4,5,Nossos itens são fora de medida e com nossos volumes menores não temos problemas,"O MEU MAIOR DESAFIO É CONSEGUIR EMPRESAS QUE TRANSPORTEM GRANDES VOLUMES, pois trabalhamos com peças para caminhão e isso é um desafio muito grande, pois os fretes são mais caros pelo volume e poucas empresas abraçam a causa. Agora nos pequenos volumes não temos problemas."
7RaBrl2,xXxA0lv,2025-09-20 10:53:27,14879915042,Jadlog,10,10,10,10,10,10,10,10,10,10,10,6,5,2,2,2,2,1,10,2,2,2,Coleta na empresa,"EXTRAVIO E MERCADORIA DANIFICADA NO TRANSPORTE , ATRASO NAS DEVOLUCOES E NEGA EM IDENIZACOES"
RGbXOEl,9qG8RxG,2025-09-20 11:25:23,14879814213,MelhorEnvio,10,8,8,7,10,10,10,10,10,9,10,8,8,3,7,7,5,1,1,5,7,4,"Facilidade, integrado com nosso marketplace","Dificuldade na resolução de problemas, muiuta demora, com o contato do entregador, informações mais precisas no rastreio"
WOj92Qk,Ekz2ALA,2025-09-20 12:11:31,14880572545,MelhorEnvio,10,10,10,10,10,8,10,10,10,10,10,6,6,6,8,8,8,8,8,10,10,8,Integração e informações sobre os envios,"dificuldade de contato rápido e agilizado quando temos problemas e dúvidas para solucionar. Chat péssimo.
"
ODo149A,2E8pZoe,2025-09-20 12:23:13,14879644440,Frenet,10,10,7,10,10,10,10,10,8,8,10,7,7,7,8,5,6,2,2,6,4,6,Facilidade com a impressão de etiquetas. Eu utilizo a FRENET e o melhor envio. O melhor sistema era da Kangu que foi encerrada.,"No caso da frenet a falta de integrar envio por remessa de forma da mesma forma que é feito com o melhor envio hoje. E o principal problema, dificuldade na solução de atrasos e extravios, com a falta de informação, demora e contatos atualizados dos pontos logísticos impedindo a solução de problemas com a entrega. POr exemplo...todos os pontos da jadlog não atendem telefone no pais, não respondem, com números  de contato e e-mails defasados que não funcionam, forçando uma peregrinação pelo google trás de contato do depósito. Inclusive o contato com a jadlog só é possível pelo reclame aqui,  da qual empresa ela pertence ou tem acordo."
gDkDDQ1,xXxGJBy,2025-09-20 16:00:33,426728476,Total Express,7,8,7,10,9,9,9,9,10,9,6,7,9,7,9,9,6,8,9,10,7,6,transparencia ,O que falta é a efetiva integração logistica entre o BLING e a VTEX. informando a entrega e não só o envio.  está em eterno desenvolvimento pelo bling
xXlXpVE,RGKOLMK,2025-09-20 16:54:04,14225139220,Frenet,10,10,10,10,10,10,10,10,10,10,10,7,8,7,8,8,10,4,5,7,7,7,Opções de ponto de coleta de pacotes próximo ao meu endereço ,Transportadoras novas com preços atrativos com pontos de coletas próximo ao meu endereço 
Xx2xvxP,Ekzpa7X,2025-09-20 19:18:06,13264285638,MelhorEnvio,10,10,5,10,10,10,10,10,10,8,10,7,5,5,7,7,8,8,7,7,6,7,Nihil,Nihil
xXlVzqr,KYQbVND,2025-09-21 01:25:10,14880055479,MelhorEnvio,10,6,7,10,9,10,9,10,10,8,10,6,10,8,9,9,9,8,4,6,9,10,"Diversas opções de frete, integração com várias lojas e sistemas, pouca burocracia para começar a usar.","Suporte do Melhor Envio é muito demorado, para situações que geralmente são urgentes para o lojista. Na integração com o Bling, na primeira tentativa de impressão da etiqueta, após pagamento, sempre ocorre um erro ""recurso não encontrado"", na segunda tentativa funciona. Os preços dos fretes já não estão muito competitivos, o contrato direto com os Correios está mais vantajoso, mas com a Jadlog, continua mais barato pelo ME."
yPdM5rd,lbDJb9V,2025-09-21 10:05:27,14879514826,MelhorEnvio,10,10,10,10,10,10,10,10,10,7,10,8,2,2,6,8,8,5,2,5,5,2,oferece opçao mais barato,a nota fiscal não e automatico. A atualizacao do sistema demora muito
gDkeelP,OD1OzyK,2025-09-21 11:41:48,14880740278,Correios,10,10,9,10,10,9,10,9,10,9,10,7,8,8,10,9,9,10,9,10,9,8,.,.
5Bp4EJd,5BKW8yb,2025-09-21 13:19:22,12024676849,"Nosso maior volume de vendas é através da Shopee, então são várias transportadoras envolvidas.",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,9,10,10,10,Praticidade,Os pacotes são não manuseados de maneira correta. Muitas das vezes os pedidos chegam avariados.
VL4jyLN,EkzyAAq,2025-09-21 14:08:52,223791641,Correios,10,10,10,10,10,10,10,10,10,7,10,7,7,6,7,5,9,1,2,9,7,9,Correios emito tudo pelo Bling.,"Melhor Envios emito só etiqueta pelo Bling e tenho que ir na plataforma deles para imprimir a folha de Minuta de Transporte, acaba sendo o mesmo trabalho que fazer tudo por lá."
A7jKNxW,PdjVyK0,2025-09-21 14:28:55,13182328139,SMART ENVIOS,10,8,8,8,8,6,8,7,10,8,10,9,8,8,8,8,6,7,7,2,8,0,Preço competitivo e boas opções ao cliente.,"Não tem integração ao bling. Só API, mas não gera etiqueta direto no bling, o que atrapalha muito. Conheço muitos sellers na mesma situação!"
lbMq2e6,5BKWgZQ,2025-09-21 14:39:21,14880231552,Loggi,10,10,10,8,10,10,10,10,10,10,10,5,5,5,8,8,5,7,7,8,8,8,Valores mais competitivos / Melhor visualização de rastreio e integrações para o cliente final,Falta de espaço para cadastro e indicações de pontos PEGAKI na cidade que operamos.
obkGdLO,gDDj9PM,2025-09-22 08:31:52,356772064,MelhorEnvio,10,9,8,10,9,10,8,10,10,8,10,3,1,1,8,8,1,5,0,10,2,0,deveria ter mas nao tem. ,"melhor envio tem o pior suporte da internet.O sistema de vcs e pessimo com a integração com melhor envio. ja abri varios chamados sem solução. O Bling so ajuda o que e de interesse de vcs, o cliente como eu vcs deixam de lado, E pessiomo o sistema de integraçãode vcs com melhor envio"
dWkd8Qr,9qqGd2Q,2025-09-22 08:57:36,9578875957,Correios,10,10,10,7,9,6,8,8,9,5,5,4,4,4,7,3,6,4,5,9,5,5,Preciso de coleta,"Tivemos extravios de encomendas sem reembolso da mercadoria pelo Melhor Envio, portanto não estamos mais utilizando essa solução logística "
EkNW29L,aQQNagX,2025-09-22 10:17:06,10162464091,Smart 2c,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,9,0,9,10,10,10,0,Preço competitivo,Falta de integração com Bling e ratreio automático 
Xx2WW8j,Npp5xbB,2025-09-22 11:24:30,14880533192,Jadlog,5,10,10,10,10,10,10,10,10,10,10,8,6,9,5,8,5,4,5,8,1,6,fh,fh
Me7zbx0,yPPZA08,2025-09-22 11:30:46,5926691717,Correios,10,10,10,10,10,10,10,10,10,10,10,6,2,4,4,6,8,6,6,9,8,8,"Integração, emissão de etiqueta automática, envio de rastreio por email para pedidos fora de SP","Não tem envio de rastreio por email para pedidos de SP, poucas transportadoras."
68p2vke,lbbDE0k,2025-09-22 11:50:40,14051064268,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,7,6,5,5,5,3,1,1,9,1,0,não tem,"demora para entregar, suporte horrivel"
44pxvOr,1AAPaxO,2025-09-22 11:51:35,14625810347,MelhorEnvio,10,10,7,10,10,10,10,10,10,6,8,7,7,5,10,10,10,7,7,10,10,6,"Integração automática com meu site, várias opções de frete, possibilidade de adicionar mais dias ou valor por categoria diferenciada.","Não tem alguns dos principais pontos de coleta no meu bairro, ausência de atendimento humanizado em caso de problema, demora na resolução de problemas."
VL4595l,Bzz4rA4,2025-09-22 12:02:49,14879221644,Correios,10,10,10,10,10,10,10,10,10,10,10,8,8,9,9,9,10,9,9,6,8,3,"Bom custo beneficio, abrangencia nacional . ","Falta de integração para emissao de etiquetas, 
atrasos pontuais para determinadas regioes. "
7Rp21l2,vGGjRp4,2025-09-22 12:10:23,8525295633,Onlog,0,0,0,10,0,0,0,0,10,10,10,0,0,0,10,0,0,0,0,10,10,10,Tenho a opção de várias trasnportadoras,"A operação poderia melhorar
"
VL45vvE,xXXxGKy,2025-09-22 12:12:05,14879308065,Loggi,10,10,10,10,10,10,10,10,10,10,10,5,5,5,4,4,4,0,0,10,10,10,Preço,Quando dá problema não temos suporte eficiente
RGV5VZ4,vGGjoy8,2025-09-22 12:20:17,10807005413,Correios,10,10,10,10,10,10,10,10,10,10,10,8,7,6,9,8,7,7,7,7,7,8,.,.
kdk6vbR,A77P10k,2025-09-22 12:22:52,522053121,GLOBAL CARGO,10,10,8,10,10,10,10,10,10,10,10,2,3,5,9,9,3,10,10,7,0,0,RÁPIDO E CONFIÁVEL.,"VALOR ALTO, SEM RASTREIO"
PdG5gOQ,Ekkkz0r,2025-09-22 12:39:59,14879000587,MelhorEnvio,10,8,10,8,10,8,10,7,10,9,8,8,8,8,8,10,8,8,7,8,6,8,Facilidade de emissoa de etiqueta e pontos de coleta,Coleta poedria ser no meu deposito
yPd9bkX,EkkkKRX,2025-09-22 13:01:37,14880265923,manda bem,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,10,5,7,5,5,"O principal ponto positivo no Manda Bem é o atendimento via whatsapp e os preços que são muito atrativos, mesmo eles trabalhando somente com a jadlog e correios",não tem conecção com o Bling.
2EDNYdL,XxxxLX4,2025-09-22 13:02:01,552704096,Correios,10,10,10,10,10,10,10,10,10,10,10,8,8,8,9,10,10,8,8,10,1,10,Colete e envio no prazo,Valores
WOj5aEQ,Y555RBN,2025-09-22 13:07:23,14879755092,Correios,8,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,7,0,4,"Somente a opção que a franquia dos correios que uso me proporcionar coleta diária sem custo em meu CD. Inclusive é o motivo de ainda ñ ter trocado a forma de envio. OU seja, bônus para o gestor da franquia que quer agregar mais clientes.","Retorno de mercadoria por incompetência humana na entrega.
Atraso de entrega
Falta de rastreio 
Entrega errada"
44pxVqk,0QQQB0Q,2025-09-22 13:12:59,11127263255,Correios,8,7,8,9,10,9,9,10,10,9,10,8,7,8,8,9,9,6,8,9,7,8,"Os valores estão dentro do mercado, a maior parte dos pedidos chega certinho. ","Quando há avaria, nunca é solucionado e ficamos com prejuízo. "
rjkAZD2,jaaaoZa,2025-09-22 13:14:15,14880105924,Correios,10,10,8,10,10,10,10,10,9,10,10,10,10,8,8,10,7,5,5,9,5,5,"Eles são muito pro ativos pra resolver as particularidades do envio. O serviço é eficiente, ágil. E econômico.","Hoje eu nao consigo que meu estoque do sistema seja sincronizado com o estoque real que mantenho com eles lá na logística. Isso é algo que melhoraria muito a minha vida.

Gostaria de ter a informação de que um pedido esta retornando para o.remetentr de forma mais explicita. E também das tentativas de entrega nao sucedidas"
dWkxOLo,GxxxlKO,2025-09-22 13:24:03,8973895426,MelhorEnvio,10,8,3,10,10,10,10,10,8,6,10,9,6,8,9,9,7,0,0,9,4,8,"Custo, facilidade de emissão, boa integração","Suporte horrível, não notifica erros ou problemas na entrega, temos que acompanhar as entregas uma a uma pra buscar problemas, e entrar em contato direto com a transportadora para solucionar"
zx1DpDE,xXXXpA9,2025-09-22 13:39:42,14879892381,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,5,2,2,2,2,5,"Nenhum pois é engessada preciso de automação e velocidade hoje é muito manual e a integração é ruim, vamos sair do bling que tem um péssimo atendimento, hoje pago R$5.000,00 de consultoria pra agencia homologada no bling dinheiro jogado fora .","muito processo manual, não atende minha operação b2b, precisa ser prépago... "
obky9D5,J999Rrr,2025-09-22 13:50:29,12684922255,MelhorEnvio,8,8,8,10,8,8,10,10,10,8,10,7,8,8,8,8,6,3,3,8,5,9,Integra facilmente. Tem melhores opções de transporte da região.,"Pós venda é péssimo... seguir a regra eu tenho que abrir chamado com melhor envios. Demoram muito tempo e a grande maioria das vezes não resolvem nada. Me dá uma dor imensa ficar tentando caçar qual agência da jadlog está com o produto travado e entender os motivos e destravar.  Correios direto já é horroroso fazer essas tratativas, com melhor envios no meio então, a chance de resolver é zero.  Sem falar que avarias de transporte caem em processos de ""acareação"" infinitos e não dão em nada..  a mediação costuma ser pobre de bom senso e tendenciosa para aceitar qualquer coisa que as transportadoras dizem. "
GxQz17Z,aQQQZvZ,2025-09-22 14:29:19,10865564715,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,3,1,1,1,1,1,1,1,10,1,10,Ponto positivo integração de todas as operações,"Quando algo atrasa e da errado suporte péssimo, não podemos reclamar direto ao meio de transporte de ficamos na mão da boa vontade dos funcionários da melhor envio"
eqY67q0,QKKKzGG,2025-09-22 14:41:48,14880532811,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,7,10,5,5,6,5,5,"o fato de disponibilizar varias opções ao cliente é o ponto positivo, ","Infelizmente o uso no sistema é confuso eu tomei um prejuizo na primeira emissão da etiqueta pois nao sabia o procedimento a seguir, pois o sistema permite gerar a etiqueta sem gerar nota fiscal fazendo com que nao gere vinculo e em nenhum momento da emissão da etiqueta o sistema me alertou essa possibilidade de falha e justamente nessa emissão que eu emiti a nota fiscal posteriormente a gerar a etiqueta a mercadoria foi destruida pela transportadora e pelo fato da nota fiscal nao ter sido anexada na emissão da etiqueta tomei um prejuizo de 689,90 + frete ou seja o sistema deveria alertar as etapas quando nao seguem um padrão sugerido por vocês"
WOjNpYP,EkkkNOL,2025-09-22 14:46:20,2765487373,Correios,10,10,10,10,10,10,10,10,10,10,10,5,7,3,6,6,2,0,5,6,3,7,"No caso de Correios, a facilidade em gerar etiquetas e ter todo o processo de monitoramento integrado dentro do Bling, sem necessidade de abrir outras janelas/apps/sites. ","A falta absoluta de comprometimento, prazo, atuação em casos de extravio, mal encaminhamento, retorno..."
