"Submission ID","Respondent ID","Submitted at","idEmpresa","idUsuario","isAdmin","plano","dataInscricao","Qual é a sua função na empresa?","Qual o volume de envios mensal da sua empresa?","Como a sua empresa realiza vendas atualmente??","Como você gerencia seus envios hoje?","Como você gerencia seus envios hoje? (Pelo painel do Bling / Melhor Envio)","Como você gerencia seus envios hoje? (Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo)","Como você gerencia seus envios hoje? (Via API / integração direta com sistema próprio)","Como você gerencia seus envios hoje? (Processo manual (planilha, ligação para transportadora, etc.))","Como você gerencia seus envios hoje? (Outro)","Importância - Reduzir o custo de frete por pedido sem comprometer o prazo de entrega","Satisfação - Reduzir o custo de frete por pedido sem comprometer o prazo de entrega","Importância - Aumentar a probabilidade de escolher a modalidade com melhor relação custo-prazo para cada pedido","Satisfação - Aumentar a probabilidade de escolher a modalidade com melhor relação custo-prazo para cada pedido","Importância - Reduzir a desvantagem de custo de frete em relação a concorrentes de maior porte","Satisfação - Reduzir a desvantagem de custo de frete em relação a concorrentes de maior porte","Importância - Reduzir o tempo perdido entre o recebimento do pedido e a emissão da etiqueta por falta de integração entre sistemas","Satisfação - Reduzir o tempo perdido entre o recebimento do pedido e a emissão da etiqueta por falta de integração entre sistemas","Importância - Reduzir o tempo gasto para emitir NF e etiqueta por pedido","Satisfação - Reduzir o tempo gasto para emitir NF e etiqueta por pedido","Importância - Reduzir o tempo para começar a operar a logística após a primeira configuração","Satisfação - Reduzir o tempo para começar a operar a logística após a primeira configuração","Importância - Reduzir interrupções no fluxo de expedição causadas por saldo insuficiente","Satisfação - Reduzir interrupções no fluxo de expedição causadas por saldo insuficiente","Importância - Reduzir o esforço manual no processamento de cada pedido na etapa de expedição","Satisfação - Reduzir o esforço manual no processamento de cada pedido na etapa de expedição","Importância - Reduzir o tempo gasto para gerenciar a expedição de diferentes CNPJs em paralelo","Satisfação - Reduzir o tempo gasto para gerenciar a expedição de diferentes CNPJs em paralelo","Importância - Reduzir a frequência de atrasos e falhas na coleta e no transporte dos pedidos","Satisfação - Reduzir a frequência de atrasos e falhas na coleta e no transporte dos pedidos","Importância - Reduzir a incerteza do cliente final sobre o status e a previsão de entrega do pedido","Satisfação - Reduzir a incerteza do cliente final sobre o status e a previsão de entrega do pedido","Importância - Reduzir a proporção de pedidos entregues fora do prazo prometido ao comprador","Satisfação - Reduzir a proporção de pedidos entregues fora do prazo prometido ao comprador","Importância - Reduzir o tempo para identificar pedidos com risco de atraso ou ocorrência antes do acionamento do comprador","Satisfação - Reduzir o tempo para identificar pedidos com risco de atraso ou ocorrência antes do acionamento do comprador","Importância - Reduzir o número de compradores sem resposta ou resolução em casos de problemas de entrega","Satisfação - Reduzir o número de compradores sem resposta ou resolução em casos de problemas de entrega","Importância - Reduzir o tempo para resolver ocorrências de atraso, extravio ou avaria após o acionamento do comprador","Satisfação - Reduzir o tempo para resolver ocorrências de atraso, extravio ou avaria após o acionamento do comprador","Importância - Reduzir o tempo para identificar qual transportadora ou rota está gerando mais problemas e custos","Satisfação - Reduzir o tempo para identificar qual transportadora ou rota está gerando mais problemas e custos","Importância - Reduzir o esforço para acionar e acompanhar uma transportadora em casos de ocorrência diretamente pelo sistema","Satisfação - Reduzir o esforço para acionar e acompanhar uma transportadora em casos de ocorrência diretamente pelo sistema"
"RWL676p","68p7qAe","2026-06-15 23:07:20","14880609026","14783081306","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio, Via API / integração direta com sistema próprio","true","false","true","false","false","10","3","10","3","10","3","10","5","10","6","10","6","10","1","10","7","10","4","10","3","10","1","10","4","10","2","10","3","10","3","10","1","10","1"
"Ar8Np6D","RG812jK","2026-06-16 00:03:06","14880368060","14782496357","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio, Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo, SITE BRASPRESS TRANSPORTES","true","true","false","false","true","10","6","10","6","10","6","10","5","10","5","10","5","10","5","10","6","10","6","10","5","10","6","10","6","10","5","10","6","10","6","10","6","10","5"
"jexXyK4","5BM6qeb","2026-06-16 00:36:33","14879516160","14780619690","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","10","8","8","9","9","1","1","5","5","4","4","5","5","5","5","5","5","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"peVX7Xq","kdvDJAM","2026-06-16 01:16:28","12369123518","12369123519","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio, Processo manual (planilha, ligação para transportadora, etc.)","true","false","false","true","false","10","10","10","10","10","10","9","5","9","5","9","5","10","5","10","5","2","5","10","5","10","5","10","5","10","5","10","5","10","5","10","4","10","5"
"yXDrepp","EkMjM0l","2026-06-16 01:38:41","10265391275","10265391278","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"BEBq0DR","Bz0O9YQ","2026-06-16 02:05:46","14880757017","14783474791","","","","Responsável Logístico/Expedição","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","amazon magalu mercado livre shopee","false","false","false","false","true","9","","9","7","10","7","9","7","9","7","9","7","9","7","9","7","9","7","10","7","10","7","10","7","9","7","9","7","10","7","9","7","9","7"
"kbZXgZR","2E7qZzb","2026-06-16 02:28:39","14878996231","14779244033","","","","Proprietário(a) / Sócio(a)","800 - 2.000 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio, Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo, Via API / integração direta com sistema próprio","true","true","true","false","false","10","8","10","8","10","7","10","8","10","8","10","8","10","8","10","8","10","8","10","6","10","7","10","7","9","8","10","6","10","6","10","6","10","6"
"4ajRDoO","EkMjrNq","2026-06-16 03:03:12","7504331817","7504331818","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Ambos os canais (online e offline)","Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","false","true","false","false","false","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","1","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"4ajRWgX","7RMBQML","2026-06-16 04:57:08","14879690776","14780985355","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","8","7","7","10","7","10","10","10","10","10","10","10","8","10","10","10","8","10","6","10","7","10","7","10","6","10","3","10","1","10","1","10","1"
"RWLQge9","eqzZEKk","2026-06-16 08:03:03","14879210776","14779881583","","","","Proprietário(a) / Sócio(a)","800 - 2.000 envios/mês","Ambos os canais (online e offline)","Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","false","true","false","false","false","10","3","10","3","10","3","10","2","10","7","10","5","10","5","10","4","10","3","10","2","10","2","10","3","10","2","10","1","10","1","10","1","10","1"
"6Dx0RkA","LZO1x8l","2026-06-16 10:46:39","7151298003","7151298005","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","J&T","false","false","false","false","true","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"1WE0bql","7RX4vG2","2026-06-16 11:09:19","8187956698","8187956699","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio, Via API / integração direta com sistema próprio","true","false","true","false","false","10","10","10","10","10","10","10","7","10","7","8","8","8","8","10","8","1","10","10","7","10","7","10","8","10","7","10","8","10","7","10","7","10","7"
"RWLebpd","XxQlj4j","2026-06-16 11:22:51","14751880436","14751880437","","","","Responsável Logístico/Expedição","800 - 2.000 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","8","10","8","9","8","10","6","10","7","10","7","10","8","10","8","10","7","10","8","10","8","10","8","10","8","10","7","10","8","10","8","10","8"
"9Nl04E4","dWqZQ0q","2026-06-16 11:34:25","14880537566","14782880949","","","","Responsável Logístico/Expedição","Até 50 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","8","8","8","10","7","10","7","10","6","5","7","7","9","8","7","6","7","10","9","10","9","10","9","10","5","9","7","9","8","10","7","6","7"
"q5PQzx8","Gxbv8BZ","2026-06-16 11:37:17","14880155109","14782042820","","","","Proprietário(a) / Sócio(a)","Acima de 2.000 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6","10","6"
"Vp87x5y","vGA7RBQ","2026-06-16 11:38:27","6725741799","6725741800","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","10","10","10","8","9","10","10","10","10","10","10","9","10","10","10","9","8","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"Vp87Bbv","VLZJ8Pv","2026-06-16 12:01:30","14879915503","14781495326","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio, Processo manual (planilha, ligação para transportadora, etc.)","true","false","false","true","false","10","8","10","8","10","7","10","4","10","7","10","8","10","7","10","8","10","7","10","7","10","7","10","7","10","7","10","6","10","7","10","6","10","7"
"0VP0WY6","Pdrd11x","2026-06-16 12:25:00","","","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","7","10","7","10","7","10","8","10","9","10","9","8","8","10","10","10","9","10","6","10","9","10","7","10","7","10","8","10","5","10","8","10","8"
"e5EOJyx","dWzWa4V","2026-06-16 12:28:21","14893651966","14783974458","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1"
"Nq0Nav0","MeVeaJk","2026-06-16 12:32:20","14880710916","14783362152","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Processo manual (planilha, ligação para transportadora, etc.)","false","false","false","true","false","10","10","8","8","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"o9O86B5","J9o9Aad","2026-06-16 12:53:12","7004216307","7004216308","","","","Responsável Logístico/Expedição","Acima de 2.000 envios/mês","Ambos os canais (online e offline)","Via API / integração direta com sistema próprio, Pelo painel do Bling / Melhor Envio, Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","true","true","true","false","false","6","5","5","7","7","5","10","4","10","3","10","2","4","7","10","2","3","7","5","5","6","4","7","6","6","4","7","5","6","8","7","8","6","7"
"peVYx48","A7DRGYe","2026-06-16 12:53:51","43248927","43248928","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Via API / integração direta com sistema próprio, Processo manual (planilha, ligação para transportadora, etc.), Pelo painel do Bling / Melhor Envio, Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","true","true","true","true","false","10","7","10","7","10","7","10","7","10","8","9","9","9","9","10","8","1","6","10","8","10","8","10","7","10","5","10","9","10","5","10","6","10","6"
"aOGpQkX","LZOZbry","2026-06-16 12:58:03","8221932801","8221932802","","","","Responsável Logístico/Expedição","Até 50 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Processo manual (planilha, ligação para transportadora, etc.)","false","false","false","true","false","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"1WEQke4","ODEDPRK","2026-06-16 13:09:20","13169523222","13169523230","","","","Proprietário(a) / Sócio(a)","800 - 2.000 envios/mês","Ambos os canais (online e offline)","Via API / integração direta com sistema próprio","false","false","true","false","false","8","8","7","7","9","9","9","9","9","9","10","10","5","5","9","9","8","8","10","10","8","8","9","9","9","9","9","9","9","9","8","8","8","8"
"Z9JbEla","rjYjEA2","2026-06-16 13:11:05","9759389972","9759389974","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio, Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","true","true","false","false","false","10","5","10","2","10","4","10","6","10","6","10","8","10","8","10","3","10","6","10","2","10","4","10","3","10","2","10","2","10","2","10","1","10","1"
"e5EgeAE","G2EEPk","2026-06-16 13:25:06","14879125591","14779627464","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","MElhor envio fora do painel do Bling","false","false","false","false","true","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1"
"7XZ7DRA","A797bQo","2026-06-16 13:34:32","14879621281","14780845522","","","","Responsável Logístico/Expedição","50 - 800 envios/mês","Ambos os canais (online e offline)","Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo, Via API / integração direta com sistema próprio","false","true","true","false","false","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"Qo0Nryg","zx0xqG0","2026-06-16 13:36:42","14883302298","14783550382","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio, Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","true","true","false","false","false","10","10","10","10","10","10","3","3","4","4","4","4","4","4","4","4","1","1","4","4","4","4","4","4","2","2","4","4","2","2","1","1","2","2"
"jex87ka","GxbxX7L","2026-06-16 13:50:34","4711597022","4711597025","","","","Proprietário(a) / Sócio(a)","Acima de 2.000 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio, enviali da plataforma loja integrada","true","false","false","false","true","7","4","8","5","9","4","10","9","10","7","9","9","10","8","10","4","10","3","10","5","9","5","9","5","10","2","10","2","10","2","9","2","10","1"
"yXD8e48","9q4qoEQ","2026-06-16 14:00:02","9035620184","9035620186","","","","Analista","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","9","10","9","10","9","10","7","10","8","10","8","10","7","10","9","10","9","10","8","10","8","10","8","10","6","10","6","10","5","10","7","10","6"
"gb48JM1","vGzGK88","2026-06-16 14:07:12","14880690574","14783313842","","","","Proprietário(a) / Sócio(a)","800 - 2.000 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio, Via API / integração direta com sistema próprio","true","false","true","false","false","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"kbZ8zej","zxdxb6a","2026-06-16 14:17:27","14879089304","14779520697","","","","Proprietário(a) / Sócio(a)","800 - 2.000 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"5X2a0V6","xXzX7PE","2026-06-16 14:49:23","14879605673","14780812742","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Via API / integração direta com sistema próprio, Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo, Pelo painel do Bling / Melhor Envio","true","true","true","false","false","10","8","10","9","10","9","10","7","10","7","10","10","10","7","10","9","10","10","10","10","10","9","10","9","10","9","10","8","10","7","10","8","10","7"
"xVZ8eaG","BMOLYA","2026-06-16 15:17:33","10921471985","10921471988","","","","Responsável Logístico/Expedição","800 - 2.000 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling + API CORREIOS + API AZULCARGO + API TOTAL EXPRESS (não usamos Melhor envio), Pelo painel do Bling / Melhor Envio, Via API / integração direta com sistema próprio","true","false","true","false","true","10","4","10","4","10","3","10","5","10","8","10","8","1","5","10","6","10","7","10","6","10","6","10","6","10","3","10","4","10","4","10","4","10","4"
"BEBJPWA","0QrprKP","2026-06-16 15:19:29","12293896301","12293896308","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio, Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","true","true","false","false","false","10","5","10","7","8","5","10","9","10","9","10","8","10","9","10","8","10","8","10","5","10","7","10","5","9","5","10","5","10","3","10","1","10","3"
"BEBJOVK","lbzbpLN","2026-06-16 15:22:22","14880144081","14782020448","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Via API / integração direta com sistema próprio","false","false","true","false","false","10","7","8","8","8","6","10","10","10","10","8","10","10","8","10","8","2","6","10","5","10","6","10","4","10","4","10","6","10","4","10","5","10","1"
"X5qPEEz","RG4yNjp","2026-06-16 16:13:53","11626727055","11626727056","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Apenas offline (loja física, vendedores, balcão etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"Ge0ALqk","Xp70vP","2026-06-16 16:14:28","7744151172","7744151173","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Ambos os canais (online e offline)","Processo manual (planilha, ligação para transportadora, etc.)","false","false","false","true","false","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1"
"RWLyrMQ","Ek6q0Qo","2026-06-16 16:53:30","14880576725","14782990568","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","4","10","5","10","4","7","7","7","7","8","6","8","8","8","7","8","8","10","8","10","7","10","7","8","7","10","6","10","6","10","6","10","4"
"yXD5bEW","yP1X0qW","2026-06-16 17:20:07","9985978236","9985978237","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio, Pelo painel do Bling/ Correios","true","false","false","false","true","10","8","8","8","7","5","5","10","6","10","4","8","9","5","5","8","2","8","3","3","9","4","9","4","10","4","9","5","9","4","9","4","10","3"
"Nq0ZXpN","A7Jk6d0","2026-06-16 18:29:28","7755075404","7755075405","","","","Proprietário(a) / Sócio(a)","800 - 2.000 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","6","10","6","10","2","9","9","9","9","10","10","6","6","10","9","9","9","10","9","10","4","10","10","8","8","8","8","8","8","8","8","8","8"
"kbZPOxj","vGND24X","2026-06-16 19:27:51","3725238326","3725238329","","","","Responsável Logístico/Expedição","50 - 800 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","4","10","4","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","3","10","1","10","3","10","2","10","3","10","3","10","1","10","2"
